id,occ_title,a_mean,is_selected,last_updated
440,"Media and Communication Workers, All Other","59,400",0,NULL
441,Bailiffs,"52,340",0,NULL
442,"Obstetricians and Gynecologists","296,210",0,NULL
443,"Food Preparation and Serving Related Workers, All Other","28,760",0,NULL
444,"Pediatricians, General","198,420",0,NULL
445,"Building and Grounds Cleaning and Maintenance Occupations","33,750",0,NULL
446,"Correctional Officers and Jailers","53,420",0,NULL
447,"Detectives and Criminal Investigators","90,370",0,NULL
448,"Supervisors of Building and Grounds Cleaning and Maintenance Workers","48,620",0,NULL
449,"Ophthalmologists, Except Pediatric","270,090",0,NULL
450,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","40,500",0,NULL
451,"First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers","48,620",0,NULL
452,"Animal Control Workers","42,620",0,NULL
453,"Lighting Technicians","58,020",0,NULL
454,"First-Line Supervisors of Housekeeping and Janitorial Workers","45,100",0,NULL
455,"Orthopedic Surgeons, Except Pediatric","306,220",0,NULL
456,"Pediatric Surgeons","290,310",0,NULL
457,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","53,270",0,NULL
458,"Tree Trimmers and Pruners","47,450",0,NULL
459,"Building Cleaning and Pest Control Workers","31,590",0,NULL
460,"Licensed Practical and Licensed Vocational Nurses","51,850",0,NULL
461,"Building Cleaning Workers","31,310",0,NULL
462,Photographers,"48,210",0,NULL
463,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","31,860",0,NULL
464,"Surgeons, All Other","297,800",0,NULL
465,"Grounds Maintenance Workers, All Other","39,120",0,NULL
466,"Detectives and Criminal Investigators","90,370",0,NULL
467,"Animal Control Workers","42,620",0,NULL
468,"Maids and Housekeeping Cleaners","29,580",0,NULL
469,"Miscellaneous Healthcare Diagnosing or Treating Practitioners","84,550",0,NULL
470,"Personal Care and Service Occupations","33,620",0,NULL
471,"Fish and Game Wardens","58,190",0,NULL
472,"Building Cleaning Workers, All Other","38,530",0,NULL
473,Photographers,"48,210",0,NULL
474,"Television, Video, and Film Camera Operators and Editors","70,020",0,NULL
475,"Fish and Game Wardens","58,190",0,NULL
476,"Camera Operators, Television, Video, and Film","61,740",0,NULL
477,"Pest Control Workers","40,640",0,NULL
478,Acupuncturists,"71,770",0,NULL
479,"Dental Hygienists","81,360",0,NULL
480,"Parking Enforcement Workers","46,050",0,NULL
481,"Healthcare Diagnosing or Treating Practitioners, All Other","113,230",0,NULL
